Abacist,One who uses an abacus in casting accounts; a calculator.
Aback,Toward the back or rear; backward.
Aback,Behind; in the rear.
Aback,Backward against the mast; -- said of the sails when pressed by the wind.
Aback,An abacus.
Abactinal,Pertaining to the surface or end opposite to the mouth in a radiate animal; -- opposed to actinal.
Abaction,Stealing cattle on a large scale.
Abactor,One who steals and drives away cattle or beasts by herds or droves.
Abaculi,of Abaculus
Abaculus,"A small tile of glass, marble, or other substance, of various colors, used in making ornamental patterns in mosaic pavements."
Abacuses,of Abacus
Abaci,of Abacus
Abacus,"A table or tray strewn with sand, anciently used for drawing, calculating, etc."
Abacus,"A calculating table or frame; an instrument for performing arithmetical calculations by balls sliding on wires, or counters in grooves, the lowest line representing units, the second line, tens, etc. It is still employed in China."
Abacus,"The uppermost member or division of the capital of a column, immediately under the architrave. See Column."
Abacus,"A tablet, panel, or compartment in ornamented or mosaic work."
Abacus,"A board, tray, or table, divided into perforated compartments, for holding cups, bottles, or the like; a kind of cupboard, buffet, or sideboard."
Abada,The rhinoceros.
Abaddon,"The destroyer, or angel of the bottomless pit; -- the same as Apollyon and Asmodeus."
Abaddon,Hell; the bottomless pit.
Abaft,"Behind; toward the stern from; as, abaft the wheelhouse."
Abaft,"Toward the stern; aft; as, to go abaft."
Abaisance,Obeisance.
Abaiser,Ivory black or animal charcoal.
Abaist,Abashed; confounded; discomfited.
Abalienate,To transfer the title of from one to another; to alienate.
Abalienate,To estrange; to withdraw.
astute,clever
affordable, have enough money to pay for
algorithm, a process or set of rules to be followed in calculations
